阿胶	［同］驴皮胶 
云幕低垂	［同］密云不雨 欲雨不雨 彤云密布 乌云低垂 
云片糕	［同］扒糕 糕 蛋糕 花糕 
云气	［同］霭 云 云彩 云朵 
云雀	［同］燕雀 旋木雀 
云天	［同］云汉 
云头	［同］云端 云海 云层 
云霞	［同］雯 雯华 火烧云 彩云 
云霄	［同］丹霄 九霄 重霄 
云消雾散1	［同］放晴 雨过天晴 云开日出 
云消雾散2	［同］烟消云散 烟消火灭 
云兴霞蔚	［同］云蒸霞蔚 
云崖	［同］山崖 崖 
云烟	［同］风烟 香烟 烟 雾 
云游四海	［同］湖海浪游 漫游 畅游 游山玩水 
云蒸霞蔚	［同］云兴霞蔚 
云翳	［同］阴云 彤云 
匀称	［同］匀整 平整 
匀速运动	［同］变速运动 
匀整	［同］平整 匀称 
陨灭	［同］没有 媳灭 破灭 灭 
陨石	［同］陨星 陨铁 
陨铁	［同］陨石 陨星 
陨星	［同］陨铁 陨石 
允诺	［同］应承 应诺 承诺 许诺 
允许	［反］禁止 不许 
运	［同］运气 运道 
运筹	［同］握筹布画 运筹帷幄 运筹决策 筹措 
运筹决策	［同］筹措 运筹 握筹布画 运筹帷幄 
运筹帷幄	［同］运筹决策 筹措 运筹 握筹布画 
运道	［同］运 运气 
运动1	［同］活动 位移 挪 移动 ［反］静止 
运动2	［同］走内线 走后门 钻营 钻谋 
运动场	［同］操场 体育场 
运动战	［反］阵地战 
运费	［同］运输费 
运河	［同］内河 内陆河 
运气	［同］运道 运 
运球	［同］传球 
运输费	［同］运费 
运算	［同］演算 
运算自如	［同］挥洒自如 游刃有余 驾轻就熟 轻车熟道 
运转	［同］动行 
晕1	［同］昏乱 昏沉 头昏 昏 ［反］醒 苏 
晕2	［同］日晕 月晕 日珥 
晕倒	［同］厥倒 昏厥 昏迷 昏倒 
晕乎乎	［同］迷糊 
晕头晕脑	［同］晕头转向 天旋地转 昏头昏脑 昏天黑地 
晕头转向1	［同］迷迷糊糊 如堕烟海 如堕五里雾中 蒙昧无知 
晕头转向2	［同］天旋地转 昏头昏脑 昏天黑地 晕头晕脑 
晕厥	［反］苏醒 
韵	［反］声 
韵母	［反］声母 
韵头	［反］韵尾 
韵尾	［反］韵头 
韵味	［同］韵致 风味 风致 
韵文	［反］散文 
韵致	［同］风味 风致 韵味 
孕穗	［同］打苞 吐穗 抽穗 秀穗 
孕吐	［同］害喜 妊娠反应 
匝	［同］遭 转 周 圈 
匝地	［同］满地 遍地 扑地 
砸饭碗	［同］丢饭碗 失业 赋闲 
砸锅	［同］受挫 挫折 失败 破产 
杂	［反］纯 单 
杂拌儿	［同］大杂烩 杂烩 
杂草	［同］草茅 荒草 野草 奥草 
杂感1	［同］读后感 观感 
杂感2	［同］拾零 特写 杂文 杂说 
杂和面	［同］杂面 
杂烩	［同］杂拌儿 大杂烩 
杂货	［同］百货 小百货 
杂货店	［同］百货店 百货公司 综合商店 
杂技	［同］把戏 杂耍 百戏 玩意儿 
杂记	［同］笔记 笔录 笔谈 
杂粮	［同］粗粮 
杂乱	［反］整齐 齐整 
杂面	［同］杂和面 
杂品	［同］杂物 
杂色	［反］正色 
杂史	［同］稗史 野史 
杂耍	［同］百戏 玩意儿 杂技 把戏 
杂税	［反］正税 
杂说1	［同］议论 街谈巷议 众说 
杂说2	［同］杂感 拾零 特写 杂文 
杂文	［同］杂说 杂感 拾零 特写 
杂文学	［反］纯文学 
杂物	［同］杂品 
杂志	［同］期刊 刊物 
杂种	［同］私生子 混血儿 混血种 ［反］纯种 
杂沓	［反］整齐 齐整 
栽1	［同］扦插 插 扦 
栽2	［同］施加 强加 横加 
栽3	［同］栽植 植苗种 植 
栽倒	［同］跌摔 跌倒 摔倒 
栽交	［同］撂交 载跟头 跌跤 摔跤 
栽培1	［同］培养 培植 扶植 培训 ［反］野生 
栽培2	［同］培植 
栽培3	［同］提挈 提拔 提升 
栽赃	［同］坐赃 
栽植1	［同］植苗种 植 栽 
栽植2	［同］种植 栽种 
栽种	［同］栽植 种植 
灾害	［同］灾患 不幸 三灾八难 天灾人祸 
灾患	［同］不幸 三灾八难 天灾人祸 灾害 
灾荒	［同］自然灾害 天灾 
灾祸	［同］灾难 灾殃 厄运 劫难 
灾民	［同］难民 难胞 难侨 
灾难	［同］灾殃 厄运 劫难 灾祸 ［反］幸福 
灾情	［同］疫情 水情 墒情 旱情 
灾星	［同］苦命 薄命 背运 厄运 
灾殃	［同］厄运 劫难 灾祸 灾难 
宰1	［同］屠 杀 屠宰 
宰2	［同］屠 杀 屠宰 宰杀 
宰杀	［同］宰 屠 杀 屠宰 
宰制	［同］主宰 支配 控制 统制 
载1	［同］登 刊 
载2	［同］满 盈 
载跟头	［同］跌跤 摔跤 栽交 撂交 
再	［同］又 重 更 还 
再版	［同］重版 
再次	［同］重新 从新 重复 再度 
再度	［同］再次 重新 从新 重复 
再会	［同］回见 回头见 再见 
再婚	［同］再嫁 ［反］初婚 
再嫁	［同］再婚 
再见	［同］再会 回见 回头见 
再娶	［同］续弦 娶填房 娶补房 
再三1	［同］多次 屡次 累次 一再 
再三2	［同］屡次三番 三番五次 一次一次 翻来覆去 
再三再四	［同］炒冷饭 重复 反复 一再 
再审	［同］复审 
再生1	［同］更生 
再生2	［同］还魂 
再生稻	［同］单季稻 双季稻 三季稻 
再生父母	［同］生死骨肉 恩同再造 恩深义厚 恩重如山 
再生之恩	［同］不斩之恩 活命之恩 救命之恩 再造之恩 
再逃犯	［同］漏网之鱼 逃犯 
再现	［同］重现 
再造之恩	［同］再生之恩 不斩之恩 活命之恩 救命之恩 ［反］切骨之仇 血海深仇 深仇大恨 深仇重怨 
在1	［同］存在 
在2	［同］方 正在 正 
在3	［同］居 位于 坐落在 
在4	［同］取决 在于 在乎 有赖 
在5	［同］于 
在6	［同］在于 在乎 
在朝	［反］在野 
在乎1	［同］有赖 在 取决 在于 
在乎2	［同］在 在于 
在即	［同］另日 改日 改天 指日 
在家	［反］出家 
在教人	［同］善男信女 教徒 信徒 
在世	［同］活 生 生活 生存 
在室	［同］待嫁 待字闺中 已嫁 
在所不惜	［同］舍得 不惜 
在逃	［反］在押 
在押	［同］入狱 下狱 坐牢 坐班房 ［反］在逃 
在野	［反］在朝 
在野党	［反］执政党 
在意1	［同］耿耿于心 介意 介然 
在意2	［同］小心 注意 经意 经心 
在于1	［同］在乎 有赖 在 取决 
在于2	［同］在乎 在 
在在	［同］到处 各处 各地 处处 
咱1	［同］俺 本人 个人 我 
咱2	［同］咱们 吾等 我们 我等 
咱们	［同］吾等 我们 我等 咱 
攒钱	［同］储蓄 储款 存款 存钱 
攒射	［同］打冷枪 扫射 
暂	［反］久 
暂居	［同］落脚 小住 暂住 暂寓 
暂且	［同］权且 聊且 权时 姑且 
暂时	［同］临时 ［反］永久 长期 
暂寓	［同］暂居 落脚 小住 暂住 
暂住	［同］暂寓 暂居 落脚 小住 
赞成	［同］赞同　倾向 支持 ［反］反对 
赞歌	［同］颂歌 赞美诗 赞美歌 
赞淮	［反］贬斥 
赞美	［反］嘲笑 嘲讽 嘲弄 
赞美歌	［同］赞歌 颂歌 赞美诗 
赞美诗	［同］赞美歌 赞歌 颂歌 
赞佩	［同］崇拜 佩服 敬佩 钦佩 ［反］贬斥 
赞赏	［反］贬斥 
赞颂	［反］贬斥 
赞同	［反］反对 
赞同 倾向	［同］支持 赞成 
赞许	［反］贬斥 
赞扬	［同］揄扬 颂扬 褒扬 称颂 
赞扬	［反］贬斥 
赞语	［同］美言 口誉 口角春风 
赞誉	［同］称赞 夸赞 咏赞 称誉 
赞助	［同］援助 帮助 扶助 协助 
赃官	［反］清官 
赃物	［同］脏 贼脏 
脏	［同］贼脏 赃物 ［反］净 
脏话	［同］下流话 猥词 恶语 粗话 
葬礼	［反］婚礼 
葬埋	［同］埋 掩埋 埋藏 埋葬 
葬送	［同］断送 
遭	［同］转 周 圈 匝 
遭暗算	［同］遇刺 遇害 
遭逢1	［同］适逢 适值 值逢 值遇 
遭逢2	［同］受 蒙受 受到 遭遇 
遭际	［同］际遇 景遇 境遇 遭遇 
遭难	［同］蒙难 受害 被害 遇害 
遭遇1	［同］遇祸 被祸 罹祸 祸从天降 
遭遇2	［同］遭逢 受 蒙受 受到 
遭遇3	［同］遭际 际遇 景遇 境遇 
遭灾	［同］被灾 受灾 
遭罪	［反］享福 
糟糕	［同］坏了 不得了 不好了 大事不好 ［反］出色 
糟糠1	［同］粗茶淡饭 残杯冷炙 粗食 草具 
糟糠2	［同］糟糠之妻 前妻 前室 
糟糠之妻	［同］前妻 前室 糟糠 
糟糠之妻不下堂	［同］休书 休妻 
糟粕	［同］草芥 土芥 粪土 沉渣 ［反］精华 
糟蹋1	［同］暴殄天物 悖入悖出 挥霍 ［反］爱惜 
糟蹋2	［同］破坏 败坏 损坏 
藻	［同］海藻 水藻 
藻饰	［同］润色 润饰 修饰 
枣	［同］黑枣 软枣 枣子 
枣红	［同］紫红 银红 桔红 杏红 ［反］葱绿 草绿 豆绿 墨绿 
枣泥	［同］豆沙 豆蓉 澄沙 
枣子	［同］枣 黑枣 软枣 
早1	［同］朝 晨 早晨 早上 ［反］晚 迟 
早2	［同］早上好 早安 您早 
早3	［同］早早儿 
早安	［同］您早 早 早上好 
早餐	［反］晚饭 晚餐 
早场	［反］晚场 夜场 
早晨	［同］早上 早 朝 晨 ［反］晚上 
早春	［同］初春 春初 开春 新春 ［反］暮春 晚春 残春 
早稻	［反］晚稻 
早点	［同］茶点 西点 
早饭	［反］晚饭 晚餐 
早婚	［反］晚婚 
早年	［反］晚年 暮年 
早年	［同］早岁 昔年 往年 
早期	［反］晚期 
早期	［同］初期 前期 
早上	［同］早 朝 晨 早晨 
早上好	［同］早安 您早 早 
早世	［同］早逝 夭折 夭亡 短折 
早逝	［同］夭折 夭亡 短折 早世 
早熟	［反］晚熟 
早霜	［反］晚霜 
早岁	［同］昔年 往年 早年 
早退	［反］迟到 
早晚1	［同］晨昏 朝暮 朝夕 旦夕 
早晚2	［同］决计 迟早 
早霞	［反］晚霞 暮霞 
早先	［反］最近 
早先	［同］原先 以前 先前 先 
早已	［同］已经 曾经 业经 业已 
早早儿	［同］早 
澡堂	［同］浴室 浴池 
蚤	［同］跳虫 跳蚤 虼蚤 
噪	［同］啭 叫 鸣 啼 
噪声	［同］噪音 
噪音	［同］噪声 
造反	［同］暴动 起事 举事 发难 
造访	［同］走访 访问 拜访 拜会 
造福	［同］谋福 谋福利 
造化1	［同］定数 数 天数 大数 
造化2	［同］幸福 福气 福运 福分 
造价	［同］身价 
造就	［同］大成 成绩 劳绩 成就 
造孽	［反］积德 积善 行善 
造物主	［同］上帝 真宰 天帝 
造型	［同］形状 样子 形态 形象 
造谣	［同］说谎 扯谎 撒谎 扯白 ［反］辟谣 
造谣惑众	［同］谣言感众 妖言惑众 蛊惑人心 造谣中伤 
造谣生事	［同］无理取闹 惹是生非 无事生非 生事作耗 
造谣中伤	［同］造谣惑众 谣言感众 妖言惑众 蛊惑人心 
造诣	［同］工夫 功夫 功力 素养 
造舆论	［同］做广告 大吹大擂 大喊大叫 
造作	［同］打造 做 制造 制作 
皂	［反］白 
皂荚	［同］皂角 
皂角	［同］皂荚 
灶	［同］灶头 
灶头	［同］灶 
燥	［同］干燥 干亢 干 ［反］湿 
燥热	［反］干冷 风凉 
责	［同］专责 义务 责任 
责备	［同］责怪 指责 斥责 贬责 ［反］原谅 
责成	［同］责令 
责罚	［同］惩罚 惩办 处罚 处分 
责怪1	［同］怪罪 见罪 见怪 嗔怪 
责怪2	［同］指责 斥责 贬责 责备 
责令	［同］责成 
责骂	［同］叱骂 斥骂 唾骂 叫骂 
责难	［同］痛斥 训斥 指斥 指摘 
责任	［同］责 专责 义务 
责任事故	［同］工伤事故 交通事故 医疗事故 人身事故 
责任心	［同］虚荣心 同情心 欢心 自尊心 
责问	［同］诘问 质问 兴师问罪 
择	［同］摘 挑拣 选 拣 
择对	［同］择偶 择配 
择交	［同］择友 
择邻	［同］孟母三迁 孟母择邻 
择木而栖	［同］择主而事 择善而从 
择偶	［同］择配 择对 
择配	［同］择对 择偶 
择善	［同］择优 
择善而从	［同］择木而栖 择主而事 
择优	［同］择善 
择友	［同］择交 
择主而事	［同］择善而从 择木而栖 
则刀儿	［同］侧刀儿 立刀旁儿 立刀儿 
泽国	［同］水乡 江乡 江国 
泽及	［同］有利 利于 有益 惠及 
泽卤	［同］盐碱地 碱地 碱荒 
贼	［同］小偷 偷儿 瘪三 窃贼 
贼窟	［同］强盗窝 盗窟 
贼去关门	［同］雨后送伞 事后诸葛亮 放马后炮 
贼心	［同］邪念 妄念 非分之想 邪心 
贼星	［同］客星 流星 飞星 
贼脏	［同］赃物 脏 
贼子	［同］卖国贼 国贼 民贼 奸贼 
怎1	［同］哪堪 怎堪 不堪 
怎2	［同］怎样 怎么 怎地 
怎不	［同］咋不 何不 胡不 
怎地	［同］怎 怎样 怎么 
怎堪	［同］不堪 怎 哪堪 
怎么	［同］怎地 怎 怎样 
怎么能	［同］岂能 怎能 
怎么样	［同］怎么着 
怎么着	［同］怎么样 
怎奈	［同］怎奈何 奈何 无如 无那 
怎奈何	［同］奈何 无如 无那 怎奈 
怎能	［同］怎么能 岂能 
怎样	［同］怎么 怎地 怎 
增	［反］减 
增补1	［同］补缺 填补 补充 添补 
增补2	［同］拾遗 补编 祉遗 补正 
增补本	［同］选本 节本 
增产	［反］减产 
增长知识	［同］丰富知识 
增多	［同］增加 加多 加码 充实 
增高1	［同］拔高 提高 ［反］降低 减低 
增高2	［同］增进 增加 加强 提高 
增光	［同］光大 光裕 光前裕后 光宗耀祖 
增加1	［同］加多 加码 充实 增多 ［反］减少 削减 裁减 
增加2	［同］加强 提高 增高 增进 
增进	［同］增加 加强 提高 增高 
增强	［反］削弱 减弱 
增色	［同］添色 生色 
增添	［反］减少 削减 裁减 
增援	［同］声援 扶持 支援 接援 
增殖腺	［同］咽扁桃体 扁桃体 扁桃腺 
憎	［反］爱 
憎称	［反］爱称 
憎恶1	［同］疾恶如仇 仇视 仇恨 憎恨 ［反］热爱 
憎恶2	［同］痛恶 讨厌 厌恶 嫌恶 
憎恨	［同］憎恶 疾恶如仇 仇视 仇恨 ［反］热爱 
曾大父	［同］曾祖 曾祖父 
曾经	［同］业经 业已 早已 已经 ［反］不曾 未曾 未尝 
曾经沧海	［同］饱经风霜 老马识途 老于世故 
曾孙	［同］重孙 曾孙女 重孙女 
曾孙女	［同］重孙女 曾孙 重孙 
曾祖1	［同］高祖 远祖 列祖列宗 祖宗十八代 
曾祖2	［同］曾祖父 曾大父 
曾祖父	［同］曾大父 曾祖 
曾祖母	［同］老奶奶 太婆 
赠答	［同］投桃报李 礼上往来 互通有无 
赠礼	［同］礼品 礼物 礼 赠品 
赠品	［同］赠礼 礼品 礼物 礼 
赠券	［同］招待券 红票 免票 
赠送	［同］馈送 馈赠 捐赠 典赠 ［反］壁还 
扎1	［同］穿 杵 戳 捅 
扎2	［同］缚 束 打 捆 
扎绑	［同］捆绑 绳捆索绑 捆扎 包扎 
扎花	［同］绣 刺绣 绣花 
扎实	［同］实在 踏实 塌实 ［反］浮躁 
扎营	［同］宿营 安营扎寨 
扎针	［同］针刺 
渣滓	［反］精华 
札	［同］书 简 信 函 
札记	［同］摘记 笔记 
轧	［同］轧钢 
轧道机	［同］压路机 
轧钢	［同］轧 
铡	［同］切 
铡刀	［同］刀 刀子 刀儿 薄刀 
闸1	［同］刹车 制动器 
闸2	［同］闸刀 电闸 
闸刀	［同］电闸 闸 
眨巴	［同］扑闪 忽闪 闪动 眨眼 
眨眼1	［同］飞眼 睁眼 闭眼 眯眼 
眨眼2	［同］眨巴 扑闪 忽闪 闪动 
榨	［同］榨取 压榨 
榨取1	［同］敛财 搜刮 搜括 压榨 
榨取2	［同］压榨 榨 
咋	［同］咬 噬 嗑 啃 
咋不	［同］何不 胡不 怎不 
咋呼1	［同］搬弄 表现 卖弄 卖嘴 
咋呼2	［同］叱喝 叱吒 叱咄 吆喝 
乍	［同］新 初 
炸1	［同］爆裂 迸裂 崩裂 崩 
炸2	［同］爆炸 爆裂 放炮 
炸毁	［同］炸裂 
炸裂	［同］炸毁 
诈1	［同］探口气 试探 
诈2	［同］行骗 骗 诈骗 行诈 
诈骗1	［同］哄骗 瞒骗 欺骗 蒙骗 
诈骗2	［同］行诈 诈 行骗 骗 
诈骗犯	［同］政治骗子 江湖骗子 骗子 拐子 
诈死	［同］装死 装熊 假死 
摘1	［同］采 采摘 采撷 摘取 ［反］戴 
摘2	［同］挑拣 选 拣 择 
摘3	［同］摘要 节录 摘记 摘录 
摘编	［同］辑 剪辑 编录 辑录 
摘记1	［同］笔记 札记 
摘记2	［同］摘录 摘 摘要 节录 
摘录	［同］摘 摘要 节录 摘记 
摘取	［同］摘 采 采摘 采撷 
摘选	［同］采择 抉择 别择 抉摘 
摘要1	［同］撮要 提要 
摘要2	［同］节录 摘记 摘录 摘 
摘引	［同］征引 援引 引证 引用 
斋1	［同］布施 施舍 施 舍 
斋2	［同］素餐 素菜 素 
斋3	［同］斋戒 持斋 吃斋 
斋戒	［同］持斋 吃斋 斋 
宅属	［同］内眷 女眷 
窄	［同］狭 小 瘦 狭窄 ［反］宽 
窄巴	［反］宽裕 宽绰 充裕 从容 
窄轨	［反］宽轨 
窄小	［反］广大 宽大 广阔 辽阔 
债	［同］帐 债务 
债户	［反］债主 
债利	［同］定息 拆息 贴息 
债权	［反］债务 
债权人	［反］债务人 
债券	［同］公债券 
债务	［同］债 帐 ［反］债权 
债务人	［反］债权人 
债主	［反］债户 
寨	［同］村寨 山寨 边寨 寨子 
寨子	［同］寨 村寨 山寨 边寨 
瞻	［反］顾 
瞻前顾后	［同］犹豫不决 裹足不前 优柔寡断 狐疑不决 
瞻望	［同］向前看 展望 
瞻仰1	［同］参谒 参见 拜谒 谒 ［反］俯瞰 鸟瞰 俯视 
瞻仰2	［同］仰望 仰视 举目 
毡靴	［同］靴子 马靴 皮靴 雨靴 
粘	［同］胶 糊 粘贴 贴 
粘贴	［同］贴 粘 胶 糊 
沾1	［同］博 落 
沾2	［同］点 硌 触 碰 
沾光	［同］讨巧 受益 
沾染	［同］浸染 习染 濡染 感染 
沾手	［同］插手 插脚 插足 介入 
沾沾自喜	［同］自鸣得意 春风得意 洋洋自得 自得其乐 ［反］垂头丧气 灰心丧气 
斩	［同］斫 剁 伐 砍 
斩草除根	［同］斩尽杀绝 一扫而空 扫地以尽 连锅端 ［反］养虎遗患 放虎归山 
斩钉截铁	［同］海枯石烂 矢志不移 锲而不舍 ［反］优柔寡断 犹豫不决 举棋不定 
斩尽杀绝	［同］一扫而空 扫地以尽 连锅端 斩草除根 
斩首	［同］枭首 杀头 砍脑袋 
辗转	［同］折腾 翻来覆去 辗转反侧 翻身 
辗转不眠	［同］目不交睫 失眠 辗转反侧 夜不成眠 
辗转反侧1	［同］翻身 辗转 折腾 翻来覆去 
辗转反侧2	［同］夜不成眠 辗转不眠 目不交睫 失眠 
崭露头角	［反］不露头角 
崭新	［同］新 簇新 ［反］陈旧 古旧 
展1	［同］开 打开 张开 启 
展2	［同］伸展 展开 张 铺展 
展翅	［同］飞 飞翔 翱翔 回翔 
展出	［同］展览 
展开1	［同］进行 进展 开展 
展开2	［同］张 铺展 展 伸展 
展览	［同］展出 
展览馆	［同］图书馆 体育馆 天文馆 
展品	［同］陈列品 非卖品 
展示	［同］显示 显得 
展望1	［同］遥望 远望 ［反］回顾 
展望2	［同］瞻望 向前看 
展现	［同］呈露 呈现 显现 表现 
展性	［同］延性 延展性 惯性 弹性 
蘸笔	［同］掭笔 濡毫 染翰 
占1	［同］各霸一方 据为已有 把着不放 
占2	［同］盘踞 占据 
占3	［同］占有 占据 
占便宜	［同］讨便宜 分一杯羹 ［反］吃亏 
占卜1	［同］占卜 筮 
占卜2	［同］筮 占卜 
占据1	［同］独占 把持 垄断 据 
占据2	［同］占 盘踞 
占据3	［同］占 占有 
占卯	［同］应卯 唱名 点名 
占梦	［同］圆梦 
占先	［同］领先 奋勇当先 打头 打先锋 
占有	［同］占据 占 
占卦	［同］问卜 卜卦 打卦 
战败1	［同］挫败 摧败 击败 打败 ［反］战胜 打败 
战败2	［同］失败 打败 败阵而逃 败北 
战场	［同］疆场 沙场 战地 
战地	［同］战场 疆场 沙场 
战抖	［同］发颤 寒噤 发抖 颤抖 
战斗1	［同］交战 交火 作战 打仗 ［反］休整 
战斗2	［同］决斗 角逐 斗争 争斗 
战斗力	［同］购买力 生产力 
战斗员	［反］指挥员 
战犯	［同］戎首 战争贩子 战争狂人 
战俘	［同］活口 俘虏 俘 伤俘 
战功	［同］汗马功劳 武功 
战鼓	［同］鼙鼓 
战壕	［同］堑壕 交通壕 壕沟 壕 
战火	［同］炮火 火网 
战祸	［同］战乱 
战绩	［同］功烈 事功 业绩 功绩 
战局	［同］僵局 残局 世局 政局 
战况	［同］近况 盛况 
战利品	［同］奢侈品 备用品 代用品 样品 
战例	［同］案例 实例 范例 特例 
战乱	［同］战祸 
战略	［同］兵略 
战胜1	［同］获胜 得胜 胜利 取胜 ［反］战败 
战胜2	［同］克服 
战时	［反］平时 
战战兢兢	［同］哆嗦 打哆嗦 激灵 
战争	［反］和平 
战争贩子	［同］战争狂人 战犯 戎首 
战争狂人	［同］战犯 戎首 战争贩子 
站1	［同］立 ［反］坐 
站2	［同］汽车站 火车站 车站 
站岗	［同］放哨 
站起	［同］起立 
站稳	［同］站住 ［反］打晃儿 
站住1	［同］站稳 
站住2	［同］站住脚 止步 却步 停步 
站住脚	［同］止步 却步 停步 站住 
湛蓝	［同］靛蓝 蓝靛 靛青 深蓝 
绽	［同］盛开 开花 开放 吐艳 
樟	［同］樟木 樟树 
樟木	［同］樟树 樟 
樟脑丸	［同］卫生丸 卫生球 
樟树	［同］樟 樟木 
章1	［同］节 段 回 
章2	［同］条款 条目 
章3	［同］章程 规章 条律 条条 
章草	［同］狂草 今草 
章程1	［同］方法 法子 办法 主意 
章程2	［同］规章 条律 条条 章 
章法1	［同］轨道 规则 守则 准则 
章法2	［同］文理 
章鱼	［同］八带鱼 八爪鱼 
张1	［同］铺展 展 伸展 展开 ［反］弛 
张2	［同］纸 页 贴 
张榜	［同］发榜 出榜 
张闭	［同］一开一关 张合 开合 开闭 
张大其词	［同］过甚其词 言过其实 夸大其词 
张挂	［同］挂 吊 悬 悬挂 
张冠李戴	［同］指鹿为马 混淆是非 混淆黑白 习非成是 
张合	［同］开合 开闭 张闭 一开一关 
张慌失措	［同］茫然失措 失魂落迫 惊魂未定 不知所措 
张皇失措	［反］不慌不忙 从容不迫 处之泰然 泰然自若 神色自若 
张开	［同］启 展 开 打开 
张口结舌1	［同］笨口拙舌 笨手笨脚 木雕泥塑 呆头呆脑 
张口结舌2	［同］目瞪口要 呆若木鸡 泥塑木雕 木雕泥塑 
张力	［同］拉力 
张罗1	［同］操持 调停 调理 料理 
张罗2	［同］筹 筹备 筹划 筹措 
张目	［同］开眼 睁眼 张眼 ［反］闭目 
张三李四	［同］某人 某甲 某乙 
张贴	［同］剪贴 
张望	［同］顾盼 东张西望 左顾右盼 
张牙舞爪	［同］鹰视狼步 横眉竖眼 龇牙裂嘴 青面獠牙 
张眼	［同］张目 开眼 睁眼 
掌鞭	［同］车把式 驭手 御手 御者 
掌灯	［同］上灯 点灯 
掌舵	［同］艄公 艄人 篙人 舵手 
掌故	［同］典故 典 
掌管1	［同］治理 管 管理 经管 
掌管2	［同］主办 秉政 主持 主管 
掌上明珠	［同］掌珠 
掌勺儿	［同］掌灶 
掌握	［同］执掌 
掌灶	［同］掌勺儿 
掌珠	［同］掌上明珠 
涨	［同］上涨 高涨 水涨船高 ［反］落 跌 
涨潮	［同］来潮 涨水 ［反］退潮 
涨价	［反］落价 跌价 
涨水	［同］涨潮 来潮 
杖	［同］手杖 拐杖 拐棍 拐 
杖国	［同］七十岁 古稀 
杖乡	［同］六十岁 花甲 耳顺 
丈	［同］仗量 
丈夫	［同］爱人 男人 先生 夫 
丈母	［同］丈母娘 岳母娘 岳母 
丈母娘	［同］岳母娘 岳母 丈母 
丈人1	［同］老父 父老 老丈 
丈人2	［同］泰山 岳父 岳丈 岳翁 
帐2	［同］帐簿 帐本 簿记 帐册 
帐3	［同］帐目 
帐本	［同］簿记 帐册 帐 帐簿 
帐簿	［同］帐本 簿记 帐册 帐 
帐册	［同］帐 帐簿 帐本 簿记 
帐单	［同］报单 失单 定单 存单 
帐房	［同］出纳 出纳员 
帐幕	［同］帐篷 幕 篷 帷幄 
帐目	［同］帐 
帐篷	［同］幕 篷 帷幄 帐幕 
帐上	［同］债务 债 
帐子	［同］蚊帐 帷 帱 
仗量	［同］丈 
仗势	［同］狗仗人势 
仗势欺人	［同］以强凌弱 谄上欺下 狐假虎威 狗仗人势 ［反］抑强扶弱 锄强扶弱 除暴安良 
仗义疏财	［同］博施济众 慷慨解囊 解囊相助 助人为乐 
仗义执言	［同］直言切谏 昌言无忌 和盘托出 直言不讳 
胀	［同］发胀 肿胀 鼓胀 水臌 ［反］缩 
瘴气	［同］废气 臭气 
障碍	［同］拦路虎 绊脚石 阻力 阻碍 
障眼法	［同］遮眼法 
招1	［同］摆手 招手 
招2	［同］染 传染 传 
招3	［同］招供 自供 坦白 供 
招4	［同］招数 路数 
招标	［反］投标 
招兵	［同］征兵 募兵 招兵买马 
招兵买马1	［同］招兵 征兵 募兵 
招兵买马2	［同］招募 招募 征召 
招待券	［同］红票 免票 赠券 
招待所	［同］指挥所 交易所 观察所 
招待员	［同］服务员 
招供	［同］自供 坦白 供 招 ［反］逼供 诱供 
招呼1	［同］呼唤 呼 ［反］答应 
招呼2	［同］接待 款待 待承 
招呼站	［同］下客站 客运站 货运站 
招集	［同］集合 召集 
招降纳叛	［同］拉帮结派 结党营私 植党营私 
招考	［反］应考 应试 
招揽	［同］招徕 兜揽 兜 揽 
招募1	［同］招募 征召 招兵买马 ［反］应募 
招募2	［同］征集 征召 应征入伍 征募 
招募3	［同］征召 招兵买马 招募 
招女婿1	［同］过门女婿 入舍女婿 倒插门的 入赘女婿 
招女婿2	［同］招亲 招赘 入赘 上门 
招牌	［同］旗号 幌子 
招聘	［同］征聘 
招亲	［同］招赘 入赘 上门 招女婿 
招惹	［同］滋生 勾起 惹 挑起 
招人	［同］引人 逗人 
招认	［同］供认 认罪 供认不讳 ［反］逼供 诱供 
招手	［同］招 摆手 
招数1	［同］路数 招 
招数2	［同］手段 手腕 手法 手眼 
招贴画	［同］宣传画 
招帖	［同］招子 
招摇撞骗1	［同］冒名 假托 伪托 假借 
招摇撞骗2	［同］掩人耳目 花言巧语 尔虞我诈 
招引	［同］抓住 诱惹 诱 吸引 
招灾惹祸	［同］召祸 
招致1	［同］搜罗 收罗 网罗 
招致2	［同］以致 引致 诱致 导致 
招赘	［同］入赘 上门 招女婿 招亲 
招子	［同］招帖 
招徕	［同］兜揽 兜 揽 招揽 
昭雪1	［同］雪恨 洗冤 洗雪 湔雪 
昭雪2	［同］雪冤 洗冤 洗雪 平反 
找	［同］搜 按图索骥 寻 
找碴儿1	［同］找岔子 挑剔 挑眼 挑刺儿 
找碴儿2	［同］找缝子 抓把柄 抓辫子 揪辫子 
找岔子	［同］挑剔 挑眼 挑刺儿 找碴儿 
找缝子	［同］抓把柄 抓辫子 揪辫子 找碴儿 
找工作	［同］谋生路 谋事 找事 求职 
找莲湘	［同］花棍舞 霸王鞭 
找麻烦	［同］捅乱子 惹是非 
找事	［同］求职 找工作 谋生路 谋事 
找寻	［同］寻觅 寻摸 摸索 寻找 
沼地	［同］淤地 沼泽 沛泽 兰泽 
沼气	［同］二氧化碳 
沼泽	［同］沛泽 兰泽 沼地 淤地 
